#漢字	音標	解釋
䉪	luj3	一種捕魚工具、深䉪，地名
觔	kɐn1	
解	kᴀj1	解款
解	kᴀj3	解決
解	hᴀj4	姓解
觸	tsoʊk6	
言	jᴀn2	
訂	tɛŋ4	落訂
訂	teɪŋ1	
計	kei1	
訊	sɐn1	
訌	hoʊŋ2	
討	hᴀw3	
訓	fun1	
訕	sᴀn1	
託	hɔk7	
記	ki1	
訛	ŋu2	
訝	ŋᴀ4	
訟	tsoʊŋ4	
訣	kʰit7	
訪	fɐŋ3	
設	tsʰit7	
許	huj3	
訴	su1	
診	tsʰɐn3	
註	tsi1	
詁	ku3	
詐	tsᴀ1	
評	pʰeɪŋ2	
詞	si2	
詠	weɪŋ4	
詢	sɐn1	
試	si1	
詩	si1	
詫	tsʰᴀ1	
詭	kwi3	
詮	tsʰin2	
話	wᴀ4	
該	kuj1	
該	kʰaj2	這
該	kʰɐt9	這
詳	tsʰɔŋ2	
詹	tsim1	
誇	kʰwᴀ1	
誌	tsi1	
認	jeɪŋ4	
誓	sei4	
誕	tᴀn1	
誘	jiw1	
語	ji2	語言
語	ji4	不以語人
誠	seɪŋ2	
誡	kᴀj1	
誣	mu2	
誤	m̍4	
誦	tsoʊŋ4	
誨	fuj1	
說	jᴀt8	
說	sɪᴀt7	
說	suj1	
誰	suj2	
課	fa1	
誼	ji2	
調	tiw4	調動
調	hiw2	調味
諂	tsʰim3	
諄	tsɐn1	
談	hᴀm2	
請	tsʰɛŋ3	
請	tsʰeɪŋ3	
諍	tsɐŋ1	
諒	lœŋ4	
論	lun2	論語
論	lun4	討論
諛	ji2	
諦	tei1	
諧	hᴀj2	
諫	kᴀn1	
諭	ji4	
諮	tsi1	
諱	wi4	
諳	ʔɐm1	
諷	foʊŋ3	
諸	tsi1	
諺	jᴀn4	
諾	nɔk8	
謀	mow2	
謂	wi4	
謊	fɐŋ1	
謎	mei2	
謐	mɐt8	
謔	jœk8	
謙	him1	
講	kɔŋ3	
謝	tsɪᴀ4	
謠	jᴀw2	
謬	mɐu4	
謳	ʔow1	
謹	kɐn3	
譁	wᴀ1	
證	tseɪŋ1	
譏	ki1	
識	seɪk6	認識
識	tsi1	默而識之
譚	hᴀm2	
譜	pʰu3	
警	keɪŋ3	
譬	pʰi1	
譯	jeɪk8	
議	ji1	
譴	hin3	
護	wu4	
譽	ji4	
讀	tow4	句讀
讀	toʊk8	朗讀
變	pin1	
讓	jœŋ4	
讚	tsᴀn1	
谷	koʊk6	山谷
谷	joʊk8	吐谷渾
谷	loʊk8	谷蠡王
谿	kʰei1	
豁	kʰut7	
豆	tow4	
豈	hi3	
豊	lei1	
豎	si4	
豐	foʊŋ1	
豔	jᴀm4	
豚	hun2	
象	tsœŋ4	
豪	hᴀw2	
豫	ji4	
豬	tsi1	
豹	pʰɛw1	
貂	tiw1	
貌	mɛw4	
貓	mɛw3	
貝	puj1	
貞	tseɪŋ1	
負	fu4	
財	tsʰuj2	
貢	koʊŋ1	
貧	pʰɐn2	
貨	fa1	
販	fᴀn1	
貪	hᴀm1	
貫	kun1	
責	tseɪk6	
貯	tsʰi1	
貳	ji4	
貴	kwi1	
貶	pin3	
買	mᴀj1	
買	mᴀj2	
貸	hᴀj1	
費	fi1	
貼	hip7	
貽	ji2	
貿	mow4	
賀	hu4	
賂	lu4	
賄	kʰuj3	
賅	kuj1	
資	tsi1	
賈	kᴀ3	姓賈
賈	ku3	商賈
賊	tsʰɐk9	
賊	tsʰɐk7	
賑	tsɐn1	
賓	pɐn1	
賜	tsʰi1	
賞	sœŋ3	
賞	sɔŋ3	
賠	pʰuj2	
賢	jᴀn2	
賣	mᴀj4	
賤	tsin4	
賦	fu1	
質	tsɐt6	物質
質	tsi4	人質
賬	tsœŋ1	
賭	tu3	
賴	lᴀj4	
賺	tsᴀn4	
購	kʰow1	
賽	tsʰuj1	
贅	tsuj4	
贈	tsɐŋ4	
贊	tsᴀn1	
贏	jɛŋ2	
贏	jœŋ2	
贓	tsɔŋ1	
贖	soʊk8	
敗	pᴀj4	
赤	tsʰɛk6	又音
赤	tsʰɛk7	
赤	tsʰeɪk6	赤小豆
赦	sɪᴀ1	
赫	heɪk6	
走	tsow3	
赳	kɐu3	
赴	fu4	
起	hi3	
趁	tsʰɐn1	
超	tsʰɪᴀw1	
越	jᴀt8	
趕	kun3	
趙	tsiw4	
趟	hɔŋ1	
趣	tsʰuj1	
趨	tsʰuj1	
足	tsuj1	足恭
足	tsoʊk6	足跡
趴	pʰᴀ1	
趾	tsi3	
跋	pɐt8	
跌	tit7	
跎	hu2	
跑	pʰɛw3	
跚	sᴀn1	
跛	pei3	
跛	pʰu3	腳有殘疾
距	kʰuj1	
距	kʰuj2	距離
跟	kɐn1	
跡	tseɪk6	
跤	kɛw1	
跨	kʰwᴀ1	
跪	kwi4	
路	lu4	
跳	hiw1	
跺	tu3	
踏	tᴀp8	
踐	tsʰin1	
踝	wᴀj2	
踞	kuj1	
踢	hɛk7	
踢	pʰɛk7	
踩	tsʰᴀj3	
踮	tim3	
踱	tɔk8	
踴	joʊŋ3	
踵	tsoʊŋ3	
蹄	hei2	
蹈	tᴀw4	
蹉	tsʰu1	
蹋	tᴀp8	
蹙	tsʰoʊk6	
蹟	tseɪk6	
蹣	pʰun2	
蹤	tsoʊŋ1	
蹦	pɐŋ3	
蹧	tsᴀw1	
蹬	tɐŋ4	
蹲	tun1	
蹴	tsʰoʊk6	
蹺	hiw1	
蹼	poʊk8	
躁	tsʰᴀw1	
躇	tsʰi2	
躊	tsʰiw2	
躍	jœk8	躍進
躍	jœk7	跳躍
躡	nip8	
身	sɐn1	
躬	koʊŋ1	
躲	tu3	
躺	hɔŋ3	
軀	kʰuj1	
車	tsʰɪᴀ1	汽車
車	kuj1	車馬炮
軋	tsᴀt7	
軌	kwi3	
軍	kun1	
軒	hin1	
軟	jᴀn1	
軟	jᴀn3	
軸	tsoʊk8	
軻	ʔu1	
軾	seɪk6	
較	kɛw1	
載	tsuj1	記載
載	tsuj3	一年半載
輒	tsip7	
輓	wᴀn1	
輔	fu4	
輕	heɪŋ1	
輛	lœŋ4	
輝	fi1	
輟	tsut7	
輩	puj1	
輪	lɐn2	
輯	tsʰɐp6	
輸	si1	
輻	foʊk6	
輾	nin3	輾穀
輾	tsin3	輾轉
輿	ji2	
轄	hɐt8	
轅	jᴀn2	
轉	tsᴀn3	語流變讀
轉	tsun1	自轉
轉	tsun3	轉變
轉	tsun4	
轍	tsʰit7	
轎	kiw4	
轎	kʰiw3	
轟	kwɐŋ1	
辛	sɐn1	
辜	ku1	
辣	lᴀt8	
辦	pᴀn4	
辨	pin4	
辭	si2	
辮	pin1	
辯	pin4	
辰	sɐn2	
辱	joʊk8	
農	noʊŋ2	
迂	ji1	
迄	ŋɐt8	
迅	sɐn1	
迎	jeɪŋ2	
近	kɐn4	靠近
近	kʰɐn2	好近
返	fᴀn3	
迢	siw2	
迤	ji2	逶迤
迤	ji2	
迥	kweɪŋ3	
迦	kᴀ1	
迪	teɪk8	
迫	peɪk7	
迭	tit8	
述	sɐt8	
迴	wuj2	
迷	mei2	
迸	peɪŋ4	
迺	nᴀj2	
追	tsuj1	
退	huj1	
送	soʊŋ1	
逃	hᴀw2	
逅	how4	
逆	jeɪk8	
逍	siw1	
透	how1	
逐	tsoʊk8	
途	hu2	
逕	keɪŋ1	
逗	tow4	
這	tsɪᴀ1	
通	hoʊŋ1	
逛	kwɐŋ4	
逝	sei4	
逞	tsʰeɪŋ3	
速	tsʰoʊk6	
造	tsᴀw4	製造
逢	foʊŋ2	
連	lin2	
逮	tei4	
週	tsɐu1	
進	tsɐn1	
逵	kʰwi2	
逶	wi3	
逸	jit8	
逼	peɪk7	
逾	ji4	
遁	tun4	
遂	suj4	
遇	ji4	
遊	jiw2	
運	wun4	
遍	pʰin1	
過	kwᴀ1	
遏	ʔᴀt7	
遐	hᴀ2	
道	tᴀw4	
達	tᴀt8	
違	wi2	
遥	jᴀw2	
遜	sun1	
遞	tei4	
遠	jᴀn3	
遠	jᴀn3	遠方
遠	jᴀn4	遠小人
遣	hin3	
遨	jᴀw1	
適	seɪk6	
遭	tsᴀw1	
遮	tsɪᴀ1	
遲	tsʰi2	
遴	lɐn2	
遵	tsin1	
遷	tsʰin1	
選	sin3	
遺	wi2	遺失
遺	wi4	贈遺
遼	liw2	
遽	kuj4	
避	pi4	
邀	jᴀw1	
邁	mᴀj4	
邂	hᴀj1	
邃	suj4	
還	wɛn2	
邇	ji2	
邊	pin1	
邊	pin2	邊址
邏	lu2	
邐	lei4	
邑	jip6	
那	nᴀ2	姓那
那	nᴀ4	地名
那	nᴀj3	一些
那	nu1	婀娜
邦	pɔŋ1	
邪	tsʰɪᴀ2	
邪	jɪᴀ2	
邱	jiw1	
邳	pʰi2	
邵	siw4	
邸	tei3	
郁	joʊk6	
郊	kɛw1	
郎	lɔŋ2	
郝	kʰɔk7	
郡	kun4	
部	pu4	
郭	kɐk7	
郵	jiw2	
都	tu1	
鄉	hœŋ1	
鄒	tsow1	
鄙	pʰi3	
鄧	teɪŋ4	
鄭	tsɛŋ4	
鄰	lɐn2	
鄺	kʰwɐŋ1	姓氏
酉	jiw2	
酌	tsœk7	
配	pʰuj1	
酒	tsɐu3	
酣	hɐm2	
酥	su1	
酪	lᴀw4	杏仁酪
酪	lɔk8	乳酪
酬	tsʰiw2	
酵	hɛw1	
酷	hoʊk8	
酸	sun1	
醃	jᴀp7	
醇	sɐn2	
醉	tsuj1	
醋	tsʰu1	
醒	tsʰɛŋ3	瞓醒
醒	seɪŋ3	
醜	tsʰɪᴀw3	
醞	wun1	
醫	ji1	
醬	tsœŋ1	
醺	fun1	
釀	jœŋ4	
采	tsʰuj3	
釉	jiw4	
釋	seɪk6	
里	li2	
重	tsʰoʊŋ1	重新
重	tsʰoʊŋ2	
重	tsoʊŋ4	重要
野	jɪᴀ2	
量	lœŋ2	測量
量	lœŋ4	重量
釐	hi1	恭賀新釐
釐	li2	釐定
金	kɐm1	
釘	tɛŋ1	釘子
針	tsɐm1	
釣	tiw1	
鈉	nᴀp4	
鈍	tun4	
鈔	tsʰᴀw3	
鈕	nɐu3	
鈞	kun1	
鈴	leɪŋ2	
鈾	jiw2	
鉅	kuj4	
鉗	kʰim2	
鉛	jᴀn2	
鉢	put8	
鉤	ŋow1	
銀	ŋɐn2	
銃	tsʰoʊŋ1	
銅	hoʊŋ2	
銓	tsʰin2	
銖	tsi1	
銘	meɪŋ2	
銜	hᴀm2	
銲	hun4	
銳	juj4	
銷	siw1	
鋁	luj2	
鋒	foʊŋ1	
鋤	tsʰu2	
鋥	tsʰɐŋ1	
鋪	pʰu1	
鋸	kuj1	
鋼	kɔŋ1	
錄	loʊk8	
錐	tsuj1	
錘	tsʰuj2	鐵錘
錢	tsʰin2	
錦	kɐm3	
錨	mɛw2	
錫	sɛk8	
錮	ku1	
錯	tsʰu1	
錯	tsʰu1	同“措”
錳	mɐŋ2	
錶	piw1	
錶	piw3	
鍊	lin4	
鍋	wᴀ1	
鍍	tu4	
鍘	tsᴀp8	
鍛	tun1	
鍥	kʰit7	
鍵	kin4	
鍾	tsoʊŋ1	
鎔	joʊŋ2	
鎖	su3	
鎗	tsʰɐŋ1	
鎗	tsʰœŋ1	
鎚	tsʰuj2	
鎮	tsɐn1	
鏈	lin4	
鏗	hɐŋ1	
鏘	tsʰœŋ1	
鏟	tsʰᴀn3	
鏡	kɛŋ1	
鏤	low4	
鏽	sɐu1	
鐘	tsoʊŋ1	
鐮	lim2	
鐲	tsoʊk6	
鐳	luj2	
鐵	hit7	
鐺	tsʰɐŋ1	瓦鐺
鐺	tsʰɐŋ2	
鐺	tɔŋ1	鐺鐺
鑄	tsi1	
鑑	kᴀm1	
鑣	piw1	
鑰	jœk8	
鑲	sœŋ1	
鑷	nip8	
鑼	lu2	
鑽	tsun1	
鑿	tsɔk8	
長	tsʰœŋ2	長久
長	tsœŋ3	長大
門	mun2	
閃	sim3	
閉	pei1	
開	huj1	
閎	wɐŋ2	
閏	jin4	
閒	hᴀn2	
間	kᴀn1	空間
閘	tsᴀp8	
閣	kɔk6	
閤	kɔk7	閤樓
閤	hɐp8	閤眼
閨	kwi1	
閩	mɐn1	
閱	jᴀt8	
閻	jᴀm2	
闆	pᴀn3	
闊	fut7	
闌	lᴀn2	
闍	tᴀw1	
闐	hin2	
闔	hɐp8	
闕	kʰit7	
闖	tsʰɔŋ3	
關	kwᴀn1	
闡	tsin3	
闢	pʰeɪk6	
阡	tsʰin1	
阪	pᴀn3	
阮	jᴀn3	姓氏
阮	jᴀn2	杜阮，地名
阱	tsɛŋ4	
阱	tseɪŋ4	
防	fɐŋ2	
阻	tsu3	
阿	ʔᴀ1	阿文
阿	ʔu1	阿膠
陀	hu2	
陂	pi2	
附	fu4	
陋	low4	
陌	mɐk8	
降	kɔŋ1	降落
降	hɔŋ2	投降
限	hᴀn4	
陛	pei1	
陝	sim3	
陡	tow3	
院	jᴀn3	
陣	tsɐn4	
除	tsʰuj2	
陪	pʰuj2	
陰	jim1	
陳	tsʰɐn2	
陵	leɪŋ2	
陶	hᴀw2	陶瓷
陶	jᴀw2	皋陶，古人名
陷	hᴀm4	
陸	loʊk8	
陽	jœŋ2	
隅	ji2	
隆	loʊŋ2	
隊	tuj4	
隋	tsʰei2	
隋	tsʰuj2	
階	kᴀj1	
隔	kɐk7	
隕	wun1	
隕	wun2	
隙	kʰweɪk6	
際	tsei1	
障	tsœŋ1	
隧	suj4	
隨	tsʰei2	
隨	tsʰuj2	
險	him3	
隱	jin3	
隴	loʊŋ2	
隸	tei4	
隻	tsɛk7	
雀	tsœk9	
雀	tsœk6	
雀	tsœk7	
雁	ŋᴀn4	
雄	hoʊŋ2	
雅	ŋᴀ1	
雅	ŋᴀ3	
集	tsᴀp8	
雇	ku1	
雋	sin1	
雋	tsɐn1	
雌	tsʰi3	
雌	tsʰi2	
雍	joʊŋ1	
雕	tiw1	
雖	suj1	
雙	sɔŋ1	
雛	tsʰu1	
雜	tsᴀp8	
雞	kei1	
雞	kei2	
離	li2	
難	nᴀn2	難民
難	nᴀn4	
雨	ji1	落雨
雨	ji3	
雨	ji2	
雨	ji4	雨我公田
雪	sit6	白雪雪
雪	sit7	
雲	wun2	
零	lɛŋ2	廿零、卅零
零	leɪŋ2	
雷	luj2	
雹	pɔk8	
電	tin4	
需	suj1	
霄	siw1	
霆	heɪŋ2	
震	tsɐn1	
霉	muj2	
霍	fɐk7	
霎	sᴀp7	
霓	ŋei2	
霖	lɐm2	
霜	sœŋ1	
霜	sɔŋ1	
霞	hᴀ2	
霧	mu4	
霪	jim2	
露	lu4	
霸	pᴀ1	
霹	pʰeɪk6	
霾	mᴀj2	
靂	leɪk6	
靈	lɛŋ2	
靈	leɪŋ2	
青	tsʰɛŋ1	青色
青	tsʰeɪŋ1	
靖	tseɪŋ4	
靛	tin4	
靜	tseɪŋ4	
非	fi1	
靠	kʰᴀw1	
靡	mi2	
面	min4	
靦	hin3	靦顏事仇
靦	min3	靦腆
靨	jᴀp7	
革	kɐk7	
靴	hɪᴀ1	
靶	pᴀ3	
鞋	hᴀj2	
鞍	ŋun1	
鞏	koʊŋ3	
鞘	tsʰiw1	
鞠	koʊk6	
鞭	pin1	
韁	kœŋ1	
韋	wi2	
韌	jin4	
韓	hun2	
韭	kɐu3	
音	jim1	
韶	siw2	
韻	wun4	
響	hœŋ3	
頁	jᴀp8	
頂	tɛŋ3	頭頂
頂	teɪŋ3	頂替
頃	kʰeɪŋ3	
項	hɔŋ4	
順	sɐn4	
須	suj1	
頌	tsoʊŋ4	
預	ji4	
頑	ŋᴀn2	頑皮
頑	wᴀn2	頑固
頒	pᴀn1	
頓	toʊk8	冒頓
頓	tun4	安頓
頗	pʰu3	
領	lɛŋ2	白領
領	leɪŋ1	領會
領	leɪŋ2	領導
頡	kʰit7	
頤	ji2	
頭	how2	
頰	kᴀp7	
頸	kɛŋ3	脖子
頹	huj2	
頻	pʰɐn2	
顆	fa3	
題	hei2	
額	ŋɐk8	額頭
額	ŋɐk6	橫額
顎	ŋɔk8	
顏	ŋᴀn2	
願	jᴀn4	
顛	tin1	
類	luj4	
顧	ku1	
顫	tsin1	
顯	hin3	
顱	lu2	
風	foʊŋ1	
颱	huj2	
颳	kwɛt7	
颼	sow1	
飄	pʰiw1	
飆	piw1	
飛	fi1	
食	seɪk8	
飢	ki1	
飧	sin1	
飪	jim4	
飯	fᴀn4	
飲	jim1	飲馬
飲	jim3	飲水
飴	ji2	
飼	tsi4	
飽	pɛw3	
飾	seɪk6	
餃	kɛw3	
餅	pɛŋ3	
養	jœŋ1	
餌	ni4	
餐	tsʰᴀn1	
餒	nuj2	
餓	ŋu4	
餘	ji2	
餚	ŋᴀw2	
餞	tsin1	
餡	hᴀm2	
館	kun3	
餵	wi1	
餽	kwi4	
饅	mᴀn4	
饈	sɐu1	
饋	kwi4	
饐	jak7	臭油味
饑	ki1	
饒	jᴀw2	
饗	hœŋ3	
饞	tsʰᴀm2	
首	siw3	
香	hœŋ1	
馥	foʊk6	
馨	heɪŋ1	
馬	mᴀ2	喇嘛
馭	ji4	
馮	foʊŋ2	姓馮
馮	pʰɐŋ2	暴虎馮河
馱	hu2	
馳	tsʰi2	
馴	sɐn2	
駁	pɔk7	
駐	tsi1	
駕	kᴀ1	
駙	fu4	
駛	sᴀj3	
駝	hu2	
駟	si1	
駭	huj4	
駱	lɔk7	
駿	tsɐn1	
騁	tsʰeɪŋ3	
騎	ki1	鐵騎
騎	kʰɪᴀ2	騎馬
騙	pʰin1	
騫	hin1	
騰	hɐŋ2	
騷	sᴀw1	
騾	lu2	
驀	mɐk8	
驅	kʰuj1	
驍	hiw1	
驕	kiw1	
驗	jᴀm4	
驚	kɛŋ1	害怕
驚	keɪŋ1	
驛	jeɪk8	
驟	tsᴀw4	
驢	lu2	
驪	lei2	
驪	li2	
骨	kut6	
骯	ŋɔŋ1	
骷	fu1	
骸	hᴀj2	
骼	kɐk7	
骼	lɔk8	
髏	low2	
髒	tsɔŋ1	
髓	suj1	
體	hei3	
高	kᴀw1	
髦	mᴀw2	
髮	fᴀt6	
髻	kei1	
鬃	tsoʊŋ1	
鬆	soʊŋ1	
鬍	wu2	
鬚	su1	
鬚	su2	
鬟	wᴀn2	
鬢	pɐn1	
鬢	pɐn4	
鬥	tow1	
鬧	nᴀw4	
鬱	wut6	
鬻	joʊk8	
鬼	kwi3	
魁	fuj1	
魂	wun2	
魄	pɔk8	旁魄
魄	pʰɐk7	魂魄
魄	pʰɔk7	落魄
魅	mi4	
魏	ŋei4	
魔	mu1	
魚	ji2	
魯	lu1	
魷	jiw2	
鮑	pɛw3	鮑魚
鮑	pɛw4	鮑魚之肆
鮭	kwi1	
鮮	sin1	鮮美
鮮	sin3	鮮有
鯉	li2	
鯊	sᴀ1	
鯝	ku1	
鯨	kʰeɪŋ2	
鰍	tsʰɐu1	
鰓	suj1	
鰭	kʰi2	
鰻	mᴀn4	
鱒	tsun1	
鱖	kwi1	
鱗	lɐn2	
鱷	ŋɔk8	
鳥	niw1	
鳥	niw2	
鳩	kɐu1	
鳳	foʊŋ4	
鳴	meɪŋ2	
鳶	jᴀn1	
鴉	ʔᴀ1	
鴕	hu2	
鴛	jᴀn1	
鴦	jœŋ1	
鴨	ʔᴀp7	
鴻	hoʊŋ2	
鴿	kᴀp7	
鵑	kin1	
鵝	ŋu2	
鵡	mu2	
鵪	ʔɐm3	鵪鶉
鵬	pʰɐŋ2	
鵰	tiw1	
鵲	tsœk7	
鶇	toʊŋ1	
鶉	tsʰɐn1	鵪鶉
鶉	sɐn2	鶉衣
鶯	ʔɐŋ1	
鶴	hɔk8	
鷄	kei1	
鷄	kei2	
鷗	ʔow1	
鷥	si1	
鷲	tsɐu4	
鷸	wut8	
鷹	jeɪŋ1	
鷺	lu4	
鸚	jeɪŋ1	
鸛	kun1	
鸝	lei2	
鸝	li2	
鹹	hɛm2	
鹼	kᴀn3	
鹽	jᴀm2	
鹿	loʊk8	
麋	mi2	
麓	loʊk6	
麗	lei4	
麟	lɐn2	
麥	mɐk8	
麴	kʰoʊk6	
麵	min4	
麻	mᴀ2	
麼	mu1	
黃	wɐŋ2	
黍	si3	
黎	lei2	
黏	nim1	
黏	nim2	
黑	heɪk6	
默	mɐk8	
黛	tuj4	
黝	jiw3	
點	tim3	
黠	kʰit7	
黨	tɔŋ3	
黯	ʔɐm3	
黴	muj2	
鼎	tɛŋ3	
鼎	teɪŋ3	
鼓	ku3	
鼕	hoʊŋ2	
鼠	si3	
鼴	jᴀn3	
鼻	pi4	
鼾	hun2	
齊	tsʰei2	整齊
齊	tsi1	齊衰
齋	tsᴀj1	
齒	tsʰi3	
齡	leɪŋ2	
齣	tsʰɐt6	
齦	ŋɐn2	
齪	tsʰoʊk6	
齷	ʔeɪk6	
龍	loʊŋ2	
龐	pʰɔŋ2	
龕	hɐm1	
龜	kun1	
龜	kwi1	
龜	kʰɐu1	
𧒽	luj3	一種貝類、𧒽步，地名
